Osvald,3/10,Ja
Evald,3/10,Ja
Franz,4/10,Nej
Franklin,4/10,Nej
Franco,4/10,Nej
Francisco,4/10,Nej
Francis,4/10,Nej
Francesco,4/10,Nej
Frank,4/10,Ja
Frans,4/10,Ja
Bror,5/10,Ja
Jennie,6/10,Nej
Jenni,6/10,Nej
Jennifer,6/10,Ja
Jenny,6/10,Ja
Riitta,7/10,Nej
Pirkko,7/10,Nej
Pirjo,7/10,Nej
Gittan,7/10,Nej
Git,7/10,Nej
Böret,7/10,Nej
Britten,7/10,Nej
Britte,7/10,Nej
Britt,7/10,Nej
Brigitte,7/10,Nej
Brigitta,7/10,Nej
Birte,7/10,Nej
Birgitte,7/10,Nej
Bibbi,7/10,Nej
Britta,7/10,Ja
Birgitta,7/10,Ja
Nisse,8/10,Nej
Nils,8/10,Ja
Inkeri,9/10,Nej
Inger,9/10,Ja
Ingrid,9/10,Ja
Harri,10/10,Nej
Harriet,10/10,Ja
Harry,10/10,Ja
Elling,11/10,Nej
Jarl,11/10,Ja
Erling,11/10,Ja
Manfrid,12/10,Nej
Valfrida,12/10,Nej
Manfred,12/10,Ja
Valfrid,12/10,Ja
Birgit,13/10,Ja
Berit,13/10,Ja
Stellan,14/10,Ja
Vivi,15/10,Nej
Hilvi,15/10,Nej
Hilly,15/10,Nej
Hill,15/10,Nej
Hildevig,15/10,Nej
Helvig,15/10,Nej
Heddy,15/10,Nej
Hedda,15/10,Nej
Hillevi,15/10,Ja
Hedvig,15/10,Ja
Finn,16/10,Ja
Toni,17/10,Nej
Antonina,17/10,Nej
Antoinette,17/10,Nej
Antoinetta,17/10,Nej
Toini,17/10,Ja
Antonia,17/10,Ja
Lukas,18/10,Ja
Luka,18/10,Nej
